Time,Ask,Bid,AskVolume,BidVolume
05.11.2012 00:06:33.264,1.28244,1.28235,1.88,3.83
05.11.2012 00:06:33.814,1.28244,1.28235,1.88,3.83
05.11.2012 00:06:34.155,1.28244,1.28235,1.73,3.08
05.11.2012 00:06:34.214,1.28244,1.28235,1.73,2.85
05.11.2012 00:06:34.575,1.28245,1.28236,2.48,1.50
05.11.2012 00:06:34.695,1.28245,1.28237,1.73,1.50
05.11.2012 00:06:34.996,1.28245,1.28237,1.73,2.10
05.11.2012 00:06:35.234,1.28245,1.28239,1.73,1.50
05.11.2012 00:06:35.355,1.28249,1.28242,2.70,3.83
05.11.2012 00:06:36.054,1.28251,1.28242,1.50,4.10
05.11.2012 00:06:37.084,1.28249,1.28242,1.50,3.35
05.11.2012 00:06:37.386,1.28247,1.28238,2.48,1.73
05.11.2012 00:06:37.744,1.28245,1.28236,1.73,3.50
05.11.2012 00:06:37.985,1.28243,1.28236,1.58,1.73
05.11.2012 00:06:38.534,1.28242,1.28234,1.05,2.40
05.11.2012 00:06:44.827,1.28242,1.28234,1.80,1.50
05.11.2012 00:06:49.744,1.28243,1.28236,1.05,1.50
05.11.2012 00:06:49.863,1.28242,1.28234,1.05,2.25
05.11.2012 00:06:50.359,1.28245,1.28236,1.73,1.73
05.11.2012 00:06:52.455,1.28244,1.28235,1.73,3.35
05.11.2012 00:06:53.007,1.28244,1.28235,2.48,3.35
05.11.2012 00:06:54.185,1.28244,1.28236,1.73,1.73
05.11.2012 00:06:56.134,1.28243,1.28235,1.50,3.35
05.11.2012 00:06:57.505,1.28244,1.28236,1.73,2.00
05.11.2012 00:06:57.565,1.28246,1.28239,1.24,1.50
05.11.2012 00:06:57.924,1.28249,1.28242,1.73,2.85
05.11.2012 00:06:58.164,1.28252,1.28244,1.73,1.50
05.11.2012 00:07:00.854,1.28251,1.28242,1.73,3.60
05.11.2012 00:07:02.316,1.28251,1.28242,3.23,3.60
05.11.2012 00:07:06.974,1.28248,1.28239,1.50,4.10
05.11.2012 00:07:07.035,1.28244,1.28239,1.50,3.13
05.11.2012 00:07:07.216,1.28246,1.28235,1.62,1.03
05.11.2012 00:07:07.335,1.28243,1.28232,1.73,1.33
05.11.2012 00:07:07.695,1.28242,1.28231,1.84,3.35
05.11.2012 00:07:07.755,1.28240,1.28231,1.73,3.35
05.11.2012 00:07:08.314,1.28239,1.28230,1.73,1.10
05.11.2012 00:07:12.980,1.28241,1.28231,1.73,1.25
05.11.2012 00:07:19.124,1.28242,1.28235,1.88,1.50
05.11.2012 00:07:19.493,1.28241,1.28232,1.73,1.50
05.11.2012 00:07:23.876,1.28242,1.28234,1.73,1.50
05.11.2012 00:07:29.306,1.28243,1.28234,4.73,2.25
05.11.2012 00:07:29.366,1.28244,1.28236,1.05,1.50
05.11.2012 00:07:29.605,1.28245,1.28236,1.73,1.50
05.11.2012 00:07:29.726,1.28245,1.28236,1.73,1.50
05.11.2012 00:07:30.275,1.28243,1.28236,1.73,1.50
05.11.2012 00:07:33.726,1.28242,1.28233,2.48,2.25
05.11.2012 00:07:33.970,1.28242,1.28233,2.48,1.73
05.11.2012 00:07:34.095,1.28243,1.28234,2.48,2.25
05.11.2012 00:07:37.274,1.28244,1.28237,1.50,1.50
05.11.2012 00:07:37.455,1.28246,1.28240,2.25,1.73
